239, 30645 58 0 0;
240, 30645 65 77 1029;
241, 31674 65 0 896;
242, 32570 65 97 331;
243, 32901 65 0 0;
244, 32901 66 102 187;
245, 33088 66 0 0;
246, 33088 63 91 160;
247, 33248 63 0 0;
248, 33248 69 99 112;
249, 33360 69 0 0;
250, 33360 70 97 170;
251, 33530 70 0 0;
252, 33530 65 101 118;
253, 33648 65 0 0;
254, 33648 61 92 384;
255, 34032 61 0 0;
256, 34032 58 88 218;
257, 34250 58 0 0;
258, 34250 60 88 198;
259, 34448 60 0 0;
260, 34448 65 95 181;
261, 34629 65 0 0;
262, 34629 63 89 181;
263, 34810 63 0 0;
264, 34810 59 89 1494;
265, 36304 59 0 0;
266, 36304 65 84 282;
267, 36586 65 0 0;
268, 36586 59 87 235;
269, 36821 59 0 0;
270, 36821 65 88 261;
271, 37082 65 0 0;
272, 37082 59 87 192;
273, 37274 59 0 0;
274, 37274 65 84 235;
275, 37509 65 0 0;
276, 37509 59 79 197;
277, 37706 59 0 0;
278, 37706 60 86 187;
279, 37893 60 0 0;
280, 37893 54 75 181;
281, 38074 54 0 0;
282, 38074 60 86 118;
283, 38192 60 0 0;
284, 38192 55 69 149;
285, 38341 55 0 0;
286, 38341 57 82 117;
287, 38458 57 0 0;
288, 38458 61 89 128;
289, 38586 61 0 0;
290, 38586 60 85 128;
291, 38714 60 0 0;
292, 38714 57 70 144;
293, 38858 57 0 0;
294, 38858 64 83 123;
295, 38981 64 0 0;
296, 38981 60 82 149;
297, 39130 60 0 0;
298, 39130 63 81 224;
299, 39354 63 0 0;
300, 39354 69 83 198;
301, 39552 69 0 0;
302, 39552 63 72 170;
303, 39722 63 0 0;
304, 39722 69 83 176;
305, 39898 69 0 0;
306, 39898 75 76 187;
307, 40085 75 0 0;
308, 40085 76 78 187;
309, 40272 76 0 0;
310, 40272 74 76 272;
311, 40544 74 0 0;
312, 40544 68 77 416;
313, 40960 68 0 0;
314, 40960 67 85 149;
315, 41109 67 0 0;
316, 41109 65 78 181;
317, 41290 65 0 0;
318, 41290 61 66 230;
319, 41520 61 0 0;
320, 41520 62 81 160;
321, 41680 62 0 0;
322, 41680 58 76 181;
323, 41861 58 0 0;
324, 41861 55 72 208;
325, 42069 55 0 0;
326, 42069 60 73 256;
327, 42325 60 0 0;
328, 42325 65 66 325;
329, 42650 65 0 0;
330, 42650 59 36 310;
331, 42960 59 0 0;
332, 42960 58 77 277;
333, 43237 58 0 0;
334, 43237 51 60 1131;
335, 44368 51 0 1002;
336, 45370 74 102 1056;
337, 46426 74 0 0;
338, 46426 70 98 176;
339, 46602 70 0 0;
340, 46602 67 98 155;
341, 46757 67 0 0;
342, 46757 63 89 139;
343, 46896 63 0 0;
344, 46896 59 82 160;
345, 47056 59 0 0;
346, 47056 58 87 186;
347, 47242 58 0 0;
348, 47242 54 90 203;
349, 47445 54 0 0;
350, 47445 53 92 176;
351, 47621 53 0 0;
352, 47621 51 85 213;
353, 47834 51 0 0;
354, 47834 50 84 491;
355, 48325 50 0 133;
356, 48458 65 89 726;
357, 49184 65 0 0;
358, 49184 77 60 762;
359, 49946 77 0 0;
360, 49946 74 82 171;
361, 50117 74 0 0;
362, 50117 70 84 165;
363, 50282 70 0 0;
364, 50282 67 89 134;
365, 50416 67 0 0;
366, 50416 63 84 149;
367, 50565 63 0 0;
368, 50565 62 84 165;
369, 50730 62 0 0;
370, 50730 58 74 230;
371, 50960 58 0 0;
372, 50960 54 72 234;
373, 51194 54 0 0;
374, 51194 57 80 267;
375, 51461 57 0 0;
376, 51461 69 74 208;
377, 51669 69 0 0;
378, 51669 70 85 229;
379, 51898 70 0 0;
380, 51898 65 77 219;
381, 52117 65 0 0;
382, 52117 61 76 240;
383, 52357 61 0 0;
384, 52357 60 85 251;
385, 52608 60 0 0;
386, 52608 62 77 810;
387, 53418 62 0 1211;
388, 54629 72 111 992;
389, 55621 72 0 0;
390, 55621 70 99 160;
391, 55781 70 0 0;
392, 55781 67 103 123;
393, 55904 67 0 0;
394, 55904 64 86 144;
395, 56048 64 0 0;
396, 56048 60 90 128;
397, 56176 60 0 0;
398, 56176 61 91 160;
399, 56336 61 0 0;
400, 56336 64 88 144;
401, 56480 64 0 0;
402, 56480 70 93 154;
403, 56634 70 0 0;
404, 56634 72 97 166;
405, 56800 72 0 0;
406, 56800 73 89 261;
407, 57061 73 0 0;
408, 57061 70 98 171;
409, 57232 70 0 0;
410, 57232 73 92 165;
411, 57397 73 0 0;
412, 57397 72 99 144;
413, 57541 72 0 0;
414, 57541 70 94 149;
415, 57690 70 0 0;
416, 57690 69 102 128;
417, 57818 69 0 0;
418, 57818 72 93 182;
419, 58000 72 0 0;
420, 58000 67 93 128;
421, 58128 67 0 0;
422, 58128 70 94 170;
423, 58298 70 0 0;
424, 58298 69 99 278;
425, 58576 69 0 0;
426, 58576 65 87 160;
427, 58736 65 0 0;
428, 58736 70 90 314;
429, 59050 70 0 0;
430, 59050 72 91 198;
431, 59248 72 0 0;
432, 59248 73 61 42;
433, 59290 73 0 0;
434, 59290 72 79 528;
435, 59818 72 0 0;
436, 59818 69 89 102;
437, 59920 69 0 0;
438, 59920 70 95 138;
439, 60058 70 0 0;
440, 60058 67 94 96;
441, 60154 67 0 0;
442, 60154 69 95 128;
443, 60282 69 0 0;
444, 60282 72 85 139;
445, 60421 72 0 0;
446, 60421 70 90 155;
447, 60576 70 0 0;
448, 60576 67 90 133;
449, 60709 67 0 0;
450, 60709 70 88 144;
451, 60853 70 0 0;
452, 60853 69 93 165;
453, 61018 69 0 0;
454, 61018 66 88 123;
455, 61141 66 0 0;
